sep=;
type;categoria;criterio;descricao;exemplo
regex_flags;Flags de regex;Texto alfanumérico imediatamente após a barra de fechamento de regex;Flags que modificam o comportamento da regex: g (global), i (case-insensitive), m (multiline), etc.;/pattern/gi → gi
regex_pattern;Padrão de regex;Texto entre a barra de abertura e barra de fechamento de regex;O padrão da expressão regular sem os delimitadores e sem as flags;/^\d+$/ → ^\d+$
required_parameter;Parâmetro;Filho de formal_parameters sem ? (não opcional) e sem valor padrão;Parâmetro obrigatório de função ou método — pode ter tipo, decorators e modificadores de acesso;constructor(private service: UserService)
return;Keyword;Token return;Palavra-chave de retorno de função;return value
return_statement;Statement;return seguido de expressão opcional e ;  ;Statement de retorno — encerra execução da função e opcionalmente devolve um valor;return this.users.find(u => u.id === id)
shorthand_property_identifier;Identificador;Propriedade de objeto onde nome da variável = nome da chave (sem :);Atalho de propriedade onde o nome da variável local é reutilizado como chave do objeto;{ name } em { name, age }
spread_element;Expressão;... seguido de expressão dentro de array literal ou arguments;Expande um iterável dentro de um array literal ou lista de argumentos de função;[...items]
statement_block;Bloco;{ } filho de função, if, for, try, método, etc.;Bloco de statements delimitado por chaves — corpo de funções, condicionais, loops e try/catch;function f() { return 1; }
string;Literal de string;Texto delimitado por aspas simples ou duplas;Nó de string literal — contém string_fragment com o texto; template strings são template_string;'hello'
string_fragment;Fragmento de string;Texto literal dentro de string ou template_string entre os delimitadores;O conteúdo textual puro de uma string — não inclui as aspas/backticks do delimitador pai;hello em 'hello'
subscript_expression;Expressão;expressão [ expressão ] em posição de acesso;Acesso a elemento por subscript — índice numérico em array ou chave calculada em objeto;arr[0]
template_string;Template literal;Texto delimitado por backticks;String que pode conter interpolações (template_substitution) e texto estático (string_fragment);`Hello ${name}`
template_substitution;Interpolação;${ expressão } dentro de template_string;A expressão interpolada dentro de uma template string — delimitada pelos tokens ${ e };${user.name}
this;Keyword;Token this em método ou construtor;Referência ao objeto corrente dentro de um método ou construtor de classe;this.userRepository
throw;Keyword;Token throw;Palavra-chave para lançar uma exceção;throw new Error()
throw_statement;Statement;throw seguido de expressão;Statement que lança uma exceção — interrompe o fluxo normal e propaga o erro;throw new NotFoundException()
true;Literal;Keyword true como valor booleano;Valor booleano literal true;return true
try;Keyword;Token try;Palavra-chave que inicia o bloco try em tratamento de erros;try { } catch(e) { }
try_statement;Statement;try { } seguido de catch e/ou finally;Statement completo de tratamento de erros — pode ter catch_clause e/ou bloco finally;try { await save() } catch(e) { ... }
type_annotation;Anotação de tipo TypeScript;: seguido de tipo após identificador ou parâmetro;Anotação de tipo TypeScript — inclui o : e o nó de tipo que o segue;x: number → : number
type_arguments;Argumentos de tipo TypeScript;< tipos > após identificador de tipo genérico;Lista de type arguments passados a um tipo ou função genérica entre < >;Array<string>
type_identifier;Identificador de tipo;Identificador em posição de referência a tipo (classe, interface, type alias);Referencia um tipo nomeado em uma anotação de tipo — difere de identifier que é usado como valor;UserService em : UserService
unary_expression;Expressão;Operador unário seguido de um único operando;Expressão com operador que age sobre um único operando: !, -, +, typeof, void, ~;!isActive
union_type;Tipo TypeScript;Dois ou mais tipos separados por | em posição de tipo;Union type do TypeScript — o valor pode ser de qualquer um dos tipos listados;string | number | null
variable_declarator;Declarador;Filho de lexical_declaration com nome e valor opcional após =;Cada variável individual dentro de uma declaração — contém o nome (identifier/pattern) e o inicializador;const name = value → name = value
